TX-TYPE,Time,Cost
RA_SIGNATURE,80.7,0.000066613500355272
CERTIFICATE,60.54,0.000057418500306232
RA_SIGNATURE,53.64,0.000066613500355272
CERTIFICATE,65.93,0.000057418500306232
RA_SIGNATURE,51.31,0.000066613500355272
CERTIFICATE,59.5,0.000061618500328632
RA_SIGNATURE,55.17,0.000083431500444968
CERTIFICATE,47.94,0.000057418500306232
RA_SIGNATURE,59.91,0.000066631500355368
CERTIFICATE,57.98,0.000057418500306232
RA_SIGNATURE,66.07,0.000066631500355368
CERTIFICATE,64.93,0.000057418500306232
RA_SIGNATURE,57.37,0.000066631500355368
CERTIFICATE,64.46,0.000057418500306232
RA_SIGNATURE,62.41,0.000066631500355368
CERTIFICATE,75.51,0.000057418500306232
RA_SIGNATURE,53.1,0.000066631500355368
CERTIFICATE,64.08,0.000057418500306232
RA_SIGNATURE,51.82,0.000066631500355368
CERTIFICATE,63.65,0.000057418500306232
RA_SIGNATURE,58.9,0.000066631500355368
CERTIFICATE,62.44,0.000057418500306232
RA_SIGNATURE,52.9,0.000066631500355368
CERTIFICATE,68.86,0.000057418500306232
RA_SIGNATURE,52.97,0.000066631500355368
CERTIFICATE,53.61,0.000061618500328632
RA_SIGNATURE,58.27,0.000083431500444968
CERTIFICATE,48.22,0.000057418500306232
RA_SIGNATURE,74.92,0.000066631500355368
CERTIFICATE,73.34,0.000057418500306232
RA_SIGNATURE,75.03,0.000066631500355368
CERTIFICATE,49.07,0.000057418500306232
RA_SIGNATURE,60.82,0.000066631500355368
CERTIFICATE,51.86,0.000057418500306232
RA_SIGNATURE,102.89,0.000066631500355368
CERTIFICATE,72.14,0.000057418500306232
RA_SIGNATURE,78.36,0.000066631500355368
CERTIFICATE,79.47,0.000057418500306232
RA_SIGNATURE,55.92,0.000066631500355368
CERTIFICATE,59.48,0.000057418500306232
RA_SIGNATURE,56.31,0.000066631500355368
CERTIFICATE,63.31,0.000057418500306232
RA_SIGNATURE,64.45,0.000066631500355368
CERTIFICATE,73.86,0.000057418500306232
RA_SIGNATURE,55.59,0.000066631500355368
CERTIFICATE,88.96,0.000061600500328536
RA_SIGNATURE,82.71,0.000083413500444872
CERTIFICATE,80.54,0.000057400500306136
RA_SIGNATURE,60.18,0.000066613500355272
CERTIFICATE,68.69,0.000057400500306136
RA_SIGNATURE,62.36,0.000066613500355272
CERTIFICATE,91.22,0.000057400500306136
RA_SIGNATURE,62.65,0.000066613500355272
CERTIFICATE,55.29,0.000057400500306136
RA_SIGNATURE,55.94,0.000066613500355272
CERTIFICATE,43.63,0.000057400500306136
RA_SIGNATURE,57.2,0.000066613500355272
CERTIFICATE,78.01,0.000057400500306136
RA_SIGNATURE,61.8,0.000066613500355272
CERTIFICATE,67.03,0.000057400500306136
RA_SIGNATURE,62.56,0.000066613500355272
CERTIFICATE,64.12,0.000057400500306136
RA_SIGNATURE,62.2,0.000066613500355272
CERTIFICATE,53.23,0.000057400500306136
RA_SIGNATURE,51.61,0.000066613500355272
CERTIFICATE,54.52,0.000061618500328632
RA_SIGNATURE,54.57,0.000083431500444968
CERTIFICATE,53.43,0.000057418500306232
RA_SIGNATURE,50.2,0.000066631500355368
CERTIFICATE,78.9,0.000057418500306232
RA_SIGNATURE,59.46,0.000066631500355368
CERTIFICATE,71.99,0.000057418500306232
RA_SIGNATURE,51.76,0.000066631500355368
CERTIFICATE,58.93,0.000057418500306232
RA_SIGNATURE,60.84,0.000066631500355368
CERTIFICATE,66.78,0.000057418500306232
RA_SIGNATURE,67.63,0.000066631500355368
CERTIFICATE,81.17,0.000057418500306232
RA_SIGNATURE,60.57,0.000066631500355368
CERTIFICATE,64.36,0.000057418500306232
RA_SIGNATURE,73.35,0.000066631500355368
CERTIFICATE,64.14,0.000057418500306232
RA_SIGNATURE,58.31,0.000066631500355368
CERTIFICATE,53.37,0.000057418500306232
RA_SIGNATURE,51.5,0.000066631500355368
CERTIFICATE,57.61,0.000061618500328632
RA_SIGNATURE,52.31,0.000083431500444968
CERTIFICATE,62.74,0.000057418500306232
RA_SIGNATURE,52.55,0.000066631500355368
CERTIFICATE,63.51,0.000057418500306232
RA_SIGNATURE,59.84,0.000066631500355368
CERTIFICATE,82.04,0.000057418500306232
RA_SIGNATURE,69.89,0.000066631500355368
CERTIFICATE,63.94,0.000057418500306232
RA_SIGNATURE,51.37,0.000066631500355368
CERTIFICATE,58.52,0.000057418500306232
RA_SIGNATURE,57.38,0.000066631500355368
CERTIFICATE,59.4,0.000057418500306232
RA_SIGNATURE,59.94,0.000066631500355368
CERTIFICATE,78.5,0.000057418500306232
RA_SIGNATURE,56.81,0.000066631500355368
CERTIFICATE,67.76,0.000057418500306232
RA_SIGNATURE,56.78,0.000066631500355368
CERTIFICATE,79.52,0.000057418500306232
RA_SIGNATURE,66.14,0.000066631500355368
CERTIFICATE,105.38,0.000061618500328632
RA_SIGNATURE,61.6,0.000079231500422568
CERTIFICATE,67.46,0.000057418500306232
RA_SIGNATURE,50.56,0.000066631500355368
CERTIFICATE,55.89,0.000057418500306232
RA_SIGNATURE,53.16,0.000066631500355368
CERTIFICATE,73.31,0.000057418500306232
RA_SIGNATURE,51.07,0.000066631500355368
CERTIFICATE,68.5,0.000057418500306232
RA_SIGNATURE,64.79,0.000066631500355368
CERTIFICATE,104.64,0.000057418500306232
RA_SIGNATURE,103.2,0.000066631500355368
CERTIFICATE,78.41,0.000057418500306232
RA_SIGNATURE,61,0.000066631500355368
CERTIFICATE,60.94,0.000057418500306232
RA_SIGNATURE,52.55,0.000066631500355368
CERTIFICATE,66.06,0.000057418500306232
RA_SIGNATURE,58.88,0.000066631500355368
CERTIFICATE,62.84,0.000057418500306232
RA_SIGNATURE,69.97,0.000066631500355368
CERTIFICATE,67.37,0.000061618500328632
RA_SIGNATURE,64.99,0.000083413500444872
CERTIFICATE,47.97,0.000057418500306232
RA_SIGNATURE,54.16,0.000066613500355272
CERTIFICATE,65.6,0.000057418500306232
RA_SIGNATURE,52.14,0.000066613500355272
CERTIFICATE,69.57,0.000057418500306232
RA_SIGNATURE,57.82,0.000066613500355272
CERTIFICATE,56.84,0.000057418500306232
RA_SIGNATURE,56.22,0.000066613500355272
